url;title;description;emails;phones;postal_codes;inns;ogrns
https://artistidian.ru;Все о фундаменте - Пишем о том как делать фундамент;Пишем о том как делать фундамент;н/д;н/д;"604800
000000
343434";н/д;н/д
https://booking-dubrovka.ru;Агротуристический комплекс | Гостиница Дубровка в Киржаче;Номерной фонд гостиничного комплекса Дубровка бронирования онлайн, отвечает уровню комфортности от простых двухместных до номеров квартирного типа, рассчитанных на семьи с детьми и большие компании.;dubrovka33@inbox.ru;+7(906)561-43-20;н/д;н/д;н/д
https://booker-spb.ru;Бухгалтерские и юридические услуги в Санкт-Петербурге;"Компания «Комплексные Услуги Бизнесу»  предлагаем полное бухгалтерское 
                        и юридическое обслуживание фирмам с любыми видами деятельности по доступным ценам.
                        Стоимость качественных бухгалтерских услуг зависит от объема документооборота, 
                        системы налогообложения, численности работников. ";mako.grupp@mail.ru;+79219606862;н/д;н/д;н/д
https://artistika-gym.ru;Artistika Школа гимнастики;Artistika Школа гимнастики в Селятино и Саларьево под руководством Чемпионки мира Панариной Кристины;Coach.panarina@gmail.com;86335306435;"831898
000000
999999
222222
751979
617499
555029
968631
313708";1679525576;"1496238230199
1496238250184
1496238259342
1495810354468
1495810359387
1495810410810"
https://hotel-dubrovka.ru/kontakty.html;КОНТАКТЫ - Гостиница Дубровка в Киржаче;"Владимирская область,
Киржачский район,
д. Дубровка,
ул. Центральная, д. 1 ";"dubrovka33@inbox.ru
Rating@Mail.ru";"89123456701
+7(915)772-67-53
+7(906)561-43-20";"514721
264409";н/д;н/д
https://artistineer.ru;н/д;н/д;н/д;н/д;"282075
794269
702700
791390
470758
791382";н/д;н/д
https://booker-spb.ru/contacts;Контактная информация | Бухгалтерские и юридические услуги в Санкт-Петербурге;"Компания «Комплексные Услуги Бизнесу»  предлагаем полное бухгалтерское 
    и юридическое обслуживание фирмам с любыми видами деятельности по доступным ценам.
    Стоимость качественных бухгалтерских услуг зависит от объема документооборота, 
    системы налогообложения, численности работников. ";mako.grupp@mail.ru;+79219606862;194044;н/д;н/д
https://artistivanov.ru;Игорь Иванов художник-нонконформист Персональный сайт Санкт-Петербург;Петербургский художник Игорь Васильевич Иванов Персональный сайт Неофициальные выставки ленинградских художников нонконформистов в Ленинграде История русского авангарда;infosite@artistivanov.ru;н/д;000000;"1560848467
1560851909
1560847122
1560848982
1567531237
1571037611
1560851008
1560847540
1560837563";н/д
https://artistium.ru;ARTISTIUM;Арт-обозреватель и маркетплейс искусства ARTISTIUM;"info@artistium.ru
gersa@mail.ru";н/д;н/д;1692132156;"1661271201190
1661271210150
1662734253552
1661271210145
1661271198913
1661271210508
1661271210369"
https://frenglishvibes.ru;Frenglish-Vibes — онлайн-школа иностранных языков;н/д;frenglish.vibes@yandex.ru;"86361663261
80497147362
80499364298
84731480497
84731655860
84731655863
84731655866
84731474627
84731470210
84731656406
84731480499
84731474628
84731655986
84731655868
84686942893
89614902892
89616558705
89616558713
89616626360
89616564149
89616560652
89616559872
89616559867
89616558712
89616559877
89616559875
89614903474
89614903468
89614903470
89614902896
89614902893
82283316563
82283316560
82283314792
82283314742
82283314743
82283316626
82067016558
83637165606
83637165587
84914147021
84914165583
85829165606
85829165587
85843165583
85962165587
85962165606
85978147021
85978165583
86108165587
86108165606
86147147021
86147165583
87867165587
87867165606
87893147021
87893165583
88020165587
88020165606
88072147021
88072165583
88164165587
88164165606
88220147021
88220165583
86131323436
88451165587
88451165606
86535613930
88887147021
88887165583
89281165587
89281165606
89287165583";"000000
999999
313708
800000
231817";"1688654018
0202534993";"1655555202180
1655555273311
1655557683910
1655853007559
1655862060912
1656700278885
1662635089404
1531306243545
1657641220736
1531306540094
1477661705844
1655861620363
1656764872911
1656406762400
1655657532541
1655657689831
1655985171210
1655657654423
1474457702916
1470210011265
1655984968639
1655657401535
1474457880885
1474451816576
1655985135397
1480497147362
1655860598364
1655863143281
1655866763328
1655866763314
1474627361375
1656406911383
1480499364298
1474628174920
1474628077848
1474628075709
1655866861435
1655986109242
1474627941995
1655866513228
1655986109225
1474627943918
1655868793018
1655868792988
1655868793010
1655868793002
1655868792973
1684686942893
1490289265516
1490289265529
1655870515484
1655871384479
1662636036215
1662636088297
1656414984427
1656065246745
1655987287554
1655986709640
1655871271486
1655871271475
1655871271461
1655987733658
1655987584091
1655871271506
1490347491104
1490347489080
1490347484722
1490346838675
1656065226452
1655987590589
1655986723463
1490347077580
1490289694305
1490289646296
1490289361781
1495810354468
1495810359387
1534434209351
1656076586851
1534434218619
1534434222621
1656319134720
1656069739479
1656069739474
1656069739470
1656069739485
1656069739463
1656319159116
1656070053425
1656070053417
1656070053410
1656070053394
1656070053371
1656319156438
1656069991218
1656069991211
1656069991204
1656069991195
1656069991174
1656319151873
1656069858754
1656069858747
1656069858742
1656069858737
1656069858731
1479222240609
1656319068024
1474291988611
1474377897073
1474292016882
1474304284054
1474378014648
1656069676144
1656319128345
1656069676135
1656069676128
1656069676120
1656069676110
1662636144908
1655802560637
1655863821481
1655867813868
1655877892203
1655877916167
1656062231387
1656062296345
1655872996984
1470210128180
1655833650178
1656062510187
1656062503157
1656062659634
1656062662303
1656062678873
1656062681782
1656062692091
1656062705961
1656062721406
1656062721420
1656062729492
1656062729505
1656062737492
1656062737504
1656062748422
1656062748434
1570303710057
1656064843533
1657641315586
1662636292051
1657641275819
1656063534955
1656063550416"
